Epoch,Pitch,Roll,Yaw,Temp,Pulse
1585882030.5991032,-25.11,18.51,181.30,31.62,502.00
1585882030.8715775,1.90,-6.94,184.69,31.69,490.00
1585882031.1513116,25.95,-30.09,175.97,31.69,510.00
1585882031.3978,17.74,-21.08,180.87,31.69,431.00
1585882031.6716805,11.44,-14.63,183.38,31.69,466.00
1585882031.9297783,9.96,-12.10,184.37,31.69,498.00
1585882032.1977835,8.93,-10.57,185.17,31.69,503.00
1585882032.471685,8.58,-9.12,185.50,31.69,434.00
1585882032.7514534,8.15,-7.69,186.14,31.69,461.00
1585882032.997761,7.60,-6.30,186.65,31.69,486.00
1585882033.2916565,6.86,-5.13,186.99,31.69,510.00
1585882033.542528,6.14,-4.23,187.17,31.69,549.00
1585882033.7935166,5.73,-3.44,187.42,31.69,457.00
1585882034.0592046,4.66,-2.44,187.89,31.69,492.00
1585882034.3424344,4.11,-1.74,188.61,31.75,516.00
1585882034.6116574,2.48,-1.13,189.37,31.75,575.00
1585882034.8580644,1.69,-0.58,189.93,31.75,495.00
1585882035.1318073,1.01,0.00,190.47,31.75,520.00
1585882035.3899903,0.25,0.36,190.96,31.75,535.00
1585882035.6578257,-0.83,0.98,191.24,31.75,566.00
1585882035.9318376,-1.55,1.33,192.06,31.75,504.00
1585882036.1924157,-2.77,1.70,192.23,31.75,527.00
1585882036.4922388,-10.57,2.35,192.42,31.75,549.00
1585882036.7425034,-12.78,1.25,193.47,31.75,520.00
1585882036.9922574,-13.83,-0.09,193.87,31.75,511.00
1585882037.2724361,-15.02,0.54,194.53,31.75,492.00
1585882037.5244453,-16.45,0.68,195.16,31.75,530.00
1585882037.7921598,-17.07,1.73,195.36,31.75,567.00
1585882038.0722911,-16.27,1.18,196.21,31.75,436.00
1585882038.3179405,-17.80,0.95,196.15,31.81,470.00
1585882038.5831156,-17.49,1.01,196.55,31.81,509.00
1585882038.8501973,-18.02,0.81,196.90,31.81,554.00
1585882187.7762518,-24.78,-2.13,200.98,32.12,537.00
1585882188.03157,-23.36,-1.97,201.60,32.12,454.00
1585882188.297305,-23.56,-1.92,202.05,32.12,483.00
1585882188.564215,-25.18,-2.17,201.70,32.12,501.00
1585882188.863332,-25.73,-2.50,201.43,32.12,535.00
1585882189.1124244,-25.28,-2.27,201.42,32.12,482.00
1585882189.3625784,-25.92,-2.18,201.35,32.12,498.00
1585882189.6418579,-26.97,-1.70,200.87,32.12,521.00
1585882189.8952653,-27.49,-2.14,200.16,32.12,527.00
1585882190.161731,-27.54,-2.24,199.60,32.12,494.00
1585882190.4417632,-28.29,-2.03,198.71,32.12,489.00
1585882190.694242,-27.87,-1.31,198.18,32.12,519.00
1585882190.959516,-28.11,-2.24,198.57,32.12,521.00
1585882191.2259927,-28.40,-2.17,197.88,32.12,551.00
1585882191.4920733,-29.83,-1.20,196.10,32.12,489.00
1585882191.7577808,-26.62,-0.04,194.60,32.12,560.00
1585882338.2807105,-25.81,-2.27,198.04,32.56,458.00
1585882338.5461187,-26.03,-2.50,197.97,32.56,484.00
1585882338.812647,-25.93,-1.63,197.76,32.56,542.00
1585882339.079059,-25.97,-1.99,197.69,32.62,568.00
1585882339.3513534,-26.30,-2.15,197.44,32.56,444.00
1585882339.6427782,-26.14,-2.00,197.39,32.56,463.00
1585882339.8927014,-26.42,-2.07,197.27,32.56,482.00
1585882340.1443076,-26.41,-2.20,197.51,32.56,507.00
1585882340.4413328,-26.34,-2.15,197.22,32.50,442.00
1585882340.6922445,-27.01,-2.44,197.21,32.56,472.00
1585882340.9424615,-27.41,-2.20,196.95,32.56,511.00
1585882341.242327,-28.01,-2.24,196.84,32.56,895.00
1585882341.4923928,-28.12,-1.82,196.13,32.56,586.00
1585882341.7423878,-27.83,-1.96,196.17,32.62,461.00
1585882342.0112476,-27.01,-1.76,195.89,32.56,497.00
1585882342.2932043,-27.02,-1.85,195.99,32.56,995.00
1585882342.5419025,-27.16,-1.67,195.83,32.56,593.00
1585882342.8221738,-27.48,-1.88,195.76,32.56,480.00
1585882343.0747974,-27.76,-1.77,195.51,32.56,507.00
1585882343.34227,-28.00,-1.94,195.35,32.56,544.00
1585882343.613143,-28.22,-1.72,195.17,32.56,570.00
1585882343.8711493,-28.27,-2.02,195.21,32.56,475.00
1585882344.1633308,-28.72,-2.38,195.04,32.56,502.00
1585882344.4123435,-28.70,-1.75,194.48,32.56,525.00
1585882344.671179,-28.63,-1.49,194.27,32.56,542.00
1585882344.9632108,-28.57,-1.61,194.13,32.56,574.00
1585882345.2124336,-28.16,-1.39,193.76,32.56,487.00
1585882345.471927,-27.44,-1.84,193.93,32.56,511.00
1585882345.7619355,-28.01,-2.06,193.57,32.62,443.00
1585882346.0121841,-28.82,-1.61,193.02,32.62,572.00
1585882346.271079,-29.00,-1.45,192.70,32.56,471.00
1585882346.5625114,-28.92,-1.42,192.23,32.62,515.00
1585882346.8123157,-28.72,-1.25,192.37,32.56,523.00
1585882347.0710597,-27.69,-1.49,192.98,32.62,579.00
1585882347.3622265,-26.96,-1.56,193.23,32.56,459.00
1585882347.622012,-26.35,-1.30,193.85,32.56,478.00
1585882347.8686147,-25.01,-4.32,195.40,32.56,514.00
1585882348.1422513,-25.42,-3.00,195.10,32.62,513.00
1585882348.4321194,-24.89,-2.25,195.48,32.56,436.00
1585882348.6823277,-25.64,-2.24,195.81,32.56,449.00
1585882348.9323804,-28.48,-2.08,195.16,32.56,480.00
1585882349.2319493,-27.49,-0.91,194.55,32.56,502.00
1585882349.4833386,-26.74,-1.79,194.92,32.56,554.00
1585882349.7322125,-25.05,-1.70,196.20,32.62,446.00
1585882350.0312133,-22.29,1.22,196.19,32.62,451.00
1585882350.2821865,-22.98,0.44,196.25,32.56,470.00
1585882350.532226,-23.30,-0.39,196.71,32.62,499.00
1585882350.7909625,-24.04,-1.60,197.22,32.56,429.00
1585882351.0822065,-24.13,-1.47,197.33,32.62,469.00
1585882351.3323514,-24.37,-1.46,197.41,32.56,493.00
1585882351.591183,-25.03,-1.50,197.17,32.62,212.00
1585882351.8822434,-24.81,-1.76,197.43,32.62,578.00
1585882352.1320903,-24.79,-2.05,197.73,32.62,450.00
1585882352.3910377,-25.14,-1.71,197.64,32.62,466.00
1585882352.6820922,-26.80,-1.94,196.99,32.62,777.00
1585882352.9321573,-27.20,-1.86,196.44,32.69,571.00
1585882353.1880941,-28.35,-2.24,195.88,32.62,475.00
